frame,person_id,hand,avg_x,avg_y
0,1,left_hand,1010.2595566666665,669.99125
0,1,right_hand,1076.3224333333335,700.6753533333334
0,2,left_hand,1072.0905,821.42618
0,2,right_hand,1114.8154,832.6583666666666
1,1,left_hand,1010.2790533333333,670.0013466666667
1,1,right_hand,1076.1232666666667,700.5148866666665
1,2,left_hand,1070.0254666666667,821.0743833333332
1,2,right_hand,1114.8367666666666,832.5889066666667
2,1,left_hand,1028.7567133333334,676.4800866666668
2,1,right_hand,1100.9021666666667,700.1634133333333
3,1,left_hand,1028.6455533333335,676.2215
3,1,right_hand,1101.0218666666667,700.1509833333333
4,1,left_hand,1032.17218,669.4568666666667
4,1,right_hand,1117.2051666666669,698.9993333333333
4,2,left_hand,981.8807466666667,768.4783766666666
4,2,right_hand,1084.3047666666666,805.2512333333334
5,1,left_hand,1032.2198666666666,669.5225333333333
5,1,right_hand,1117.2587,699.0302333333333
5,2,left_hand,981.9467233333334,768.4608333333334
5,2,right_hand,1084.2353333333333,805.2054533333334
6,1,left_hand,1032.2013566666667,669.4842666666666
6,1,right_hand,1117.2524333333333,699.0066266666666
6,2,left_hand,981.9276566666667,768.5304866666667
6,2,right_hand,1084.2195,805.1030133333334
7,1,left_hand,1045.9195,667.2155333333334
7,1,right_hand,1122.8059666666666,695.5461866666668
7,2,left_hand,981.7620700000001,759.3817166666668
7,2,right_hand,1076.5354333333332,804.5613133333333
8,1,left_hand,1046.0691,667.0929666666667
8,1,right_hand,1122.6480333333334,695.4317666666666
8,2,left_hand,981.78462,759.4737566666666
8,2,right_hand,1076.5685666666668,804.6103166666667
9,1,left_hand,1067.5771333333332,654.7145666666667
9,1,right_hand,1134.912,690.6095533333333
9,2,left_hand,979.1828933333333,756.3864033333333
9,2,right_hand,1068.3388666666667,787.2098766666668
10,1,left_hand,1067.5331666666668,654.5922999999999
10,1,right_hand,1134.9240333333335,690.5625933333334
10,2,left_hand,979.16195,756.3838900000001
10,2,right_hand,1068.3446666666666,787.2703666666666
11,1,left_hand,1072.7337,651.7401000000001
11,1,right_hand,1139.5399666666665,689.5978666666666
11,2,left_hand,978.03894,743.4998833333333
11,2,right_hand,1065.3270333333332,754.6080999999999
12,1,left_hand,1072.6863999999998,651.8425166666667
12,1,right_hand,1139.5754,689.5625166666665
12,2,left_hand,978.0598200000001,743.4787
12,2,right_hand,1065.4112333333333,754.5718466666667
13,1,left_hand,1072.7641,651.80504
13,1,right_hand,1139.5351,689.5414566666667
13,2,left_hand,977.9685533333333,743.3668566666666
13,2,right_hand,1065.3701333333331,754.1476766666666
14,1,left_hand,1086.6178333333332,646.0205666666667
14,1,right_hand,1144.4996,686.5887433333334
14,2,left_hand,978.09768,729.4477466666667
14,2,right_hand,1060.3462,748.2533433333333
15,1,left_hand,1086.6314,646.09723
15,1,right_hand,1144.4408,686.5819133333333
15,2,left_hand,978.0353333333334,729.5082333333334
15,2,right_hand,1060.2099,748.0304333333333
16,1,left_hand,1096.8222666666668,648.2491666666666
16,1,right_hand,1148.9441666666667,685.5262333333334
16,2,left_hand,981.5485533333334,716.7929333333333
16,2,right_hand,1059.6926,741.1675333333333
17,1,left_hand,1096.7185666666667,648.09741
17,1,right_hand,1148.9359,685.6503333333334
17,2,left_hand,981.55093,716.7308766666666
17,2,right_hand,1059.6430333333335,741.1935466666667
18,1,left_hand,1096.8468999999998,648.0469066666666
18,1,right_hand,1148.9406333333334,685.53721
18,2,left_hand,981.5225300000001,716.7427333333334
18,2,right_hand,1059.7095,741.1969333333333
19,1,left_hand,1114.9095666666667,662.59908
19,1,right_hand,1155.8695333333333,693.34773
19,2,left_hand,983.3907666666668,704.9108066666666
19,2,right_hand,1059.5514,728.8495133333332
20,1,left_hand,1115.0076,662.6474433333333
20,1,right_hand,1155.8628666666666,693.3921999999999
20,2,left_hand,983.3762,704.8915833333334
20,2,right_hand,1059.5793666666666,728.89165
21,1,left_hand,1135.7173,681.2854666666667
21,1,right_hand,1160.4941666666666,696.0339166666666
21,2,left_hand,985.0594333333333,698.4891466666667
21,2,right_hand,1059.6154333333334,720.1867333333333
