frame,person_id,keypoint_id,keypoint_name,x,y,conf
0,1,0,nose,1053.7921,627.6797,0.068676315
0,1,1,left_eye,1055.3098,622.6532,0.0417643
0,1,2,right_eye,1057.6099,624.98145,0.027471492
0,1,3,left_ear,1045.3567,624.2231,0.7070825
0,1,4,right_ear,1073.7153,629.6272,0.53523606
0,1,5,left_shoulder,1025.6495,646.93994,0.99000996
0,1,6,right_shoulder,1076.0035,662.17206,0.98215735
0,1,7,left_elbow,996.2502,677.77295,0.8849044
0,1,8,right_elbow,1076.6777,711.0921,0.7432448
0,1,9,left_wrist,1008.87897,685.26086,0.5395299
0,1,10,right_wrist,1076.2861,728.7619,0.3050104
0,1,11,left_hip,1007.771,720.45026,0.99513936
0,1,12,right_hip,1048.072,728.1467,0.9929052
0,1,13,left_knee,979.58624,753.5739,0.97671276
0,1,14,right_knee,1065.7384,769.9807,0.96058553
0,1,15,left_ankle,946.3878,801.8941,0.9238614
0,1,16,right_ankle,1062.6075,806.15686,0.88863003
0,2,0,nose,1113.6127,743.4058,0.26596424
0,2,1,left_eye,1111.2002,736.17737,0.034521695
0,2,2,right_eye,1110.2124,737.45636,0.2980158
0,2,3,left_ear,1081.0627,736.13165,0.10833779
0,2,4,right_ear,1100.2803,743.2086,0.85879284
0,2,5,left_shoulder,1056.8783,764.8499,0.92558396
0,2,6,right_shoulder,1101.4576,777.7585,0.994333
0,2,7,left_elbow,1063.1686,822.34174,0.4574518
0,2,8,right_elbow,1116.7566,836.9566,0.98020536
0,2,9,left_wrist,1096.2246,877.0869,0.32328403
0,2,10,right_wrist,1126.232,883.26,0.92092
0,2,11,left_hip,1012.8053,829.1514,0.9862742
0,2,12,right_hip,1049.0028,834.57935,0.9966588
0,2,13,left_knee,1002.2692,870.8632,0.9693887
0,2,14,right_knee,1057.3418,888.28674,0.9934948
0,2,15,left_ankle,965.1091,908.1815,0.9364178
0,2,16,right_ankle,1037.4594,928.8124,0.9791526
1,1,0,nose,1053.9661,627.7619,0.06831946
1,1,1,left_eye,1055.4719,622.73846,0.04150263
1,1,2,right_eye,1057.7335,625.06,0.027433477
1,1,3,left_ear,1045.3936,624.27106,0.70487726
1,1,4,right_ear,1073.7059,629.67224,0.5360417
1,1,5,left_shoulder,1025.599,646.9088,0.9900121
1,1,6,right_shoulder,1076.0911,662.0953,0.9818985
1,1,7,left_elbow,996.27686,677.8337,0.88568753
1,1,8,right_elbow,1076.5787,710.9471,0.74056935
1,1,9,left_wrist,1008.9613,685.26154,0.5412285
1,1,10,right_wrist,1075.7,728.50226,0.30302736
1,1,11,left_hip,1007.7482,720.3812,0.9951271
1,1,12,right_hip,1048.188,728.0702,0.9928308
1,1,13,left_knee,979.4299,753.7596,0.976631
1,1,14,right_knee,1065.7684,770.1828,0.96010333
1,1,15,left_ankle,946.3211,801.95306,0.92348176
1,1,16,right_ankle,1062.661,806.3579,0.88733983
1,2,0,nose,1113.6411,743.3149,0.26278138
1,2,1,left_eye,1111.2952,735.999,0.034153543
1,2,2,right_eye,1110.1967,737.3224,0.2976992
1,2,3,left_ear,1080.9175,735.80096,0.112823464
1,2,4,right_ear,1100.3044,743.0691,0.8643759
1,2,5,left_shoulder,1056.2778,764.5441,0.9257946
1,2,6,right_shoulder,1101.4973,777.88586,0.99469864
1,2,7,left_elbow,1060.7732,822.06995,0.4399038
1,2,8,right_elbow,1116.9495,836.89166,0.9805711
1,2,9,left_wrist,1093.0254,876.6091,0.3034348
1,2,10,right_wrist,1126.0635,882.9892,0.9194834
1,2,11,left_hip,1012.51526,829.065,0.9865088
1,2,12,right_hip,1049.0892,834.82324,0.9968321
1,2,13,left_knee,1002.3891,870.85,0.97002023
1,2,14,right_knee,1057.6765,889.39276,0.9938783
1,2,15,left_ankle,965.19714,907.9653,0.9388059
1,2,16,right_ankle,1038.2334,929.7567,0.98053724
2,1,0,nose,1075.2649,627.64233,0.075253665
2,1,1,left_eye,1075.9261,622.94,0.024201315
2,1,2,right_eye,1076.1404,624.17395,0.040465143
2,1,3,left_ear,1058.4495,625.46106,0.57927114
2,1,4,right_ear,1084.3352,629.70593,0.74024963
2,1,5,left_shoulder,1041.7241,649.3024,0.9932239
2,1,6,right_shoulder,1082.8011,661.35754,0.99663794
2,1,7,left_elbow,1014.93884,684.0963,0.92195547
2,1,8,right_elbow,1093.5912,710.8371,0.9721425
2,1,9,left_wrist,1029.6072,696.04156,0.7213117
2,1,10,right_wrist,1126.3142,728.2956,0.8468074
2,1,11,left_hip,1018.7723,725.69415,0.99844885
2,1,12,right_hip,1055.3821,731.28687,0.9989237
2,1,13,left_knee,990.26575,759.17255,0.991699
2,1,14,right_knee,1089.2686,771.18427,0.9942853
2,1,15,left_ankle,951.8416,804.4461,0.96663296
2,1,16,right_ankle,1107.2904,822.21204,0.9746617
3,1,0,nose,1075.2858,627.72876,0.07382402
3,1,1,left_eye,1075.9779,623.0312,0.023924282
